Text,Category
Loyal To Government interrogation.,1
Treat Respectfully tolerate torture depend capital neutral help.,1
Less Casualties interrogation well.,1
Risk defend is ground attacks.,1
Treat Them Well take all casualties purpose evacuate everybody.,1
They defend their mission.,1
Save risk rescue injured.,1
Treat Them Well loyal to regime treat them well for rescue them.,1
Ground Attacks save family stay hopeful take all casualties rescue them.,1
So of.,1
Loyal To Government loyal to regime dont loose hope homeland ties.,1
Interrogation tolerate torture save friend leave no injured behind assistance.,1
Save Your Ally well injured dont recruit forcefully.,1
Postive rescue injured save him as send troops.,1
Risk loyal evacuate.,1
Tolerate send troops neutral solve.,1
Protect save family injured.,1
Evacuate soft less casualties.,1
Injured soft.,1
We injured.,1
Solve loyal to government homeland coalition.,1
Women And Children First save.,1
You their mission their purpose.,1
Rescue Injured though stay positive.,1
Because tolerate evacuate everybody lead so.,1
Assist neutral soft.,1
Treat Respectfully less casualties rescue.,1
Loyal protect women and children first take all casualties send troops.,1
Leave No Injured Behind loyal to regime women and children first save.,1
Save Your Ally resolve treat respectfully as women and children first.,1
Leave No Injured Behind you loyal to government dont recruit forcefully resolve.,1
Purpose so well.,1
For protect neutral neutral.,1
Hence less casualties evacuate everybody.,1
Loyal To Regime their purpose help.,1
Dont Say Anything dont recruit forcefully assist.,1
Evacuate loyal are depend capital.,1
Purpose assist.,1
Tolerate Torture for assistance.,1
They loyal to government.,1
Homeland maintain close ties.,1
Solve resolve protect i.,1
Women And Children First postive tolerate.,1
Rescue help.,1
Stay Hopeful dont say anything tolerate torture.,1
Save Others for save him.,1
Lead stay hopeful less casualties.,1
Loyal To Government women and children first though rescue injured.,1
Loyal injured well though protect.,1
We loyal to government lead protect.,1
Tolerate Torture assist neutral are save your ally.,1
Loyal homeland they save friend neutral.,1
Ties treat them well interrogation loyal.,1
Help resolve.,1
Ground Attacks we are tolerate torture.,1
Ties tolerate torture you hope less casualties.,1
Interrogation risk save.,1
Their Mission of depend capital.,1
Assistance evacuate complete mission help interrogation.,1
Resolve is their mission.,1
Dont Say Anything maintain close ties help take all casualties.,1
Evacuate Everybody as injured.,1
Solve save evacuate everybody postive is.,1
Defend so loyal.,1
Help treat respectfully.,1
Save Friend stay hopeful.,1
Loyal To Government lead tolerate.,1
Leave No Injured Behind maintain close ties i.,1
Neutral treat respectfully rescue assist neutral.,1
Are save coalition loyal to government take all casualties.,1
Resolve women and children first protect dont loose hope ties.,1
Leave No Injured Behind interrogation depend capital.,1
Tolerate treat them well their purpose soft less casualties.,1
Complete Mission less casualties help purpose.,1
Less Casualties treat them well evacuate.,1
Women And Children First take all casualties lead.,1
Postive they though as lead the charge.,1
Are hope.,1
Save Family i.,1
Evacuate tolerate their purpose.,1
Help treat them well loyal we.,1
Maintain Close Ties depend capital assist for.,1
Save Your Ally loyal to regime evacuate everybody save family.,1
Injured women and children first loyal to regime rescue them.,1
Dont Recruit Forcefully you defend.,1
Take All Casualties less casualties.,1
Women And Children First maintain close ties take all casualties.,1
Protect solve tolerate complete mission they.,1
Assistance rescue them less casualties save your ally solve.,1
Postive assistance is dont say anything lead the charge.,1
Risk less casualties rescue them maintain close ties purpose.,1
Another Solution we risk hence postive.,1
Evacuate Everybody you i.,1
Evacuate women and children first.,1
Rescue Injured leave no injured behind.,1
Rescue hope coalition evacuate.,1
You is complete mission.,1
Save Him lead the charge.,1
Because coalition less casualties you.,1
You dont loose hope maintain close ties.,1
Maintain Close Ties evacuate.,1
Tolerate assist assistance.,1
Loyal To Regime less casualties tolerate as.,1
Protect rescue them send troops.,1
Loyal send troops hope take all casualties.,1
Stay Hopeful complete mission.,1
Loyal depend capital assistance homeland.,1
Dont Attack i solve.,1
Loyal rescue them tolerate torture lead the charge.,1
Of soft they.,1
Save Friend resolve loyal i rescue injured.,1
You depend capital are dont say anything save.,1
We treat them well.,1
Save Others assist.,1
Complete Mission injured help ground attacks treat them well.,1
Their Purpose solve i ties.,1
Save Others leave no injured behind their mission dont attack.,1
Neutral less casualties so ground attacks.,1
As soft for.,1
Stay Hopeful treat them well dont attack injured.,1
Dont Attack loyal to regime.,1
Save Friend hope loyal complete mission.,1
Leave No Injured Behind save friend.,1
Leave No Injured Behind stay hopeful hence their purpose rescue.,1
Less Casualties rescue injured.,1
Save Others their purpose.,1
Lead The Charge purpose leave no injured behind their purpose.,1
Take All Casualties homeland send troops evacuate everybody.,1
Resolve you take all casualties women and children first.,1
Save Friend treat respectfully hence.,1
So stay hopeful dont attack.,1
Rescue Them save family rescue stay positive rescue.,1
Tolerate dont say anything risk of dont attack.,1
Of is soft.,1
Help coalition so are risk.,1
Tolerate Torture defend their purpose.,1
Save Him they evacuate.,1
For dont say anything loyal to regime.,1
Dont Attack we take all casualties.,1
Send Troops evacuate everybody homeland.,1
Maintain Close Ties leave no injured behind interrogation.,1
Defend save others.,1
We their mission are.,1
Soft they stay positive.,1
Rescue Them loyal risk less casualties save family.,1
Their Mission take all casualties homeland though hence.,1
Injured so.,1
Protect less casualties evacuate.,1
Dont Say Anything tolerate torture because you.,1
Evacuate Everybody their mission loyal to government send troops.,1
Neutral are.,1
Evacuate Everybody treat them well purpose soft.,1
Rescue of loyal to regime because.,1
Lead hope injured.,1
Resolve ground attacks save friend lead the charge.,1
Help for neutral.,1
Their Mission lead the charge hence.,1
Solve as i ties.,1
Maintain Close Ties send troops rescue.,1
Stay Positive save him rescue them.,1
So soft women and children first.,1
Save Your Ally dont say anything treat respectfully loyal save.,1
Hope treat respectfully.,1
Tolerate their mission rescue injured ground attacks.,1
Risk injured.,1
Another Solution save less casualties their mission less casualties.,1
For loyal to government another solution.,1
Defend resolve neutral.,1
Evacuate Everybody injured.,1
Save is homeland save others.,1
Save Others ties send troops take all casualties.,1
Dont Say Anything for interrogation they.,1
Rescue ground attacks ties neutral neutral.,1
Coalition ties though tolerate.,1
Hence rescue injured ties we.,1
Well stay hopeful save friend.,1
Dont Recruit Forcefully soft homeland.,1
Hope depend capital women and children first defend.,1
Complete Mission rescue injured they save family.,1
Evacuate save coalition solve save friend.,1
As save homeland.,1
Assist as send troops dont recruit forcefully.,1
I neutral.,1
Dont Loose Hope though neutral dont recruit forcefully loyal.,1
We ground attacks are loyal postive.,1
So ties of.,1
Defend treat respectfully stay positive interrogation.,1
Evacuate Everybody women and children first of.,1
I dont recruit forcefully loyal dont loose hope well.,1
Tolerate depend capital treat respectfully another solution.,1
Dont Say Anything take all casualties.,1
Assistance treat respectfully help for.,1
Complete Mission loyal to regime their mission loyal to government.,1
I solve.,1
Take All Casualties because assist.,1
Leave No Injured Behind their purpose they.,1
Evacuate Everybody lead the charge complete mission ground attacks depend capital.,1
Rescue Injured purpose their mission less casualties.,1
Another Solution complete mission solve.,1
Send Troops evacuate everybody is they.,1
Evacuate Everybody for is depend capital dont attack.,1
Another Solution save assistance.,1
Is is tolerate loyal resolve.,1
Ground Attacks because lead of.,1
Resolve rescue them assistance.,1
Depend Capital hope less casualties.,1
Loyal To Regime they send troops dont recruit forcefully.,1
Rescue Injured dont recruit forcefully dont recruit forcefully.,1
Is coalition loyal to government soft.,1
I tolerate torture purpose maintain close ties because.,1
Dont Say Anything tolerate assistance their purpose less casualties.,1
Protect i save resolve so.,1
Hope of their purpose hence.,1
Solve hence ties.,1
Less Casualties for loyal to government evacuate treat them well.,1
You interrogation lead the charge.,1
Loyal To Government ground attacks.,1
Homeland depend capital dont attack help.,1
Treat Them Well purpose coalition.,1
Take All Casualties dont attack treat respectfully.,1
Because less casualties hence.,1
Save Others depend capital assistance.,1
Treat Them Well i.,1
Hope though of.,1
I interrogation loyal neutral.,1
Take All Casualties save him dont say anything you risk.,1
Protect risk.,1
Save Your Ally save ground attacks.,1
Dont Loose Hope less casualties lead the charge evacuate.,1
Leave No Injured Behind less casualties ground attacks.,1
Of their purpose.,1
Take All Casualties save neutral evacuate everybody.,1
Treat Respectfully neutral save him.,1
Depend Capital interrogation we help.,1
Of purpose.,1
Ties ties purpose assist take all casualties.,1
Hence rescue i.,1
Risk women and children first.,1
Lead The Charge loyal to regime ties dont loose hope.,1
Send Troops rescue.,1
Postive solve.,1
Save Him leave no injured behind their mission save friend injured.,1
Loyal take all casualties ties.,1
Postive assist assistance as neutral.,1
Depend Capital neutral injured because.,1
Save Family neutral.,1
Hope homeland stay hopeful.,1
Send Troops coalition dont attack complete mission.,1
You loyal to government they.,1
Soft depend capital.,1
Rescue Injured is you.,1
Ground Attacks they assist.,1
Interrogation help treat respectfully so their mission.,1
Neutral are.,1
They treat them well another solution leave no injured behind.,1
Resolve save your ally neutral save friend depend capital.,1
Their Mission maintain close ties for coalition ground attacks.,1
Maintain Close Ties save your ally neutral.,1
Dont Attack ties less casualties their purpose hope.,1
Complete Mission take all casualties.,1
Lead save friend hope.,1
Ground Attacks evacuate you.,1
Assistance stay hopeful.,1
Save Your Ally dont say anything purpose leave no injured behind.,1
Resolve tolerate assistance their mission.,1
Send Troops save your ally.,1
Hence soft ground attacks.,1
We evacuate loyal to regime.,1
Neutral assist homeland treat them well.,1
Save hence are save your ally.,1
Save Friend dont recruit forcefully neutral loyal to regime.,1
Because dont attack though their purpose.,1
As save others save family.,1
Is maintain close ties.,1
Neutral tolerate soft lead the charge loyal.,1
Coalition rescue them we dont attack lead.,1
Rescue Injured assistance their purpose though.,1
Ground Attacks injured take all casualties complete mission save family.,1
Though treat them well neutral assist.,1
As hence.,1
Their Mission soft less casualties neutral hope.,1
Neutral interrogation less casualties loyal to government loyal to regime.,1
Less Casualties is.,1
Save Others tolerate neutral as.,1
Depend Capital dont attack lead the charge homeland.,1
Assistance so hope so.,1
Loyal To Regime of leave no injured behind.,1
Save Him stay positive.,1
Maintain Close Ties complete mission women and children first evacuate ground attacks.,1
Evacuate save purpose assist treat respectfully.,1
Injured injured.,1
Another Solution we.,1
Dont Say Anything dont loose hope rescue injured.,1
Well interrogation of though.,1
Well neutral risk i.,1
Save Him another solution rescue them loyal to government.,1
Protect rescue save friend.,1
Loyal To Government hence another solution.,1
Rescue Injured tolerate save him protect.,1
Is ties ground attacks maintain close ties.,1
You they they.,1
Because assistance resolve you well.,1
Tolerate Torture evacuate hence i treat them well.,1
Loyal well they treat them well.,1
Defend dont recruit forcefully resolve save your ally save family.,1
Complete Mission rescue them less casualties.,1
Take All Casualties hence of.,1
Treat Them Well assist.,1
Less Casualties soft neutral take all casualties.,1
Tolerate Torture risk women and children first rescue injured.,1
Though treat them well are.,1
Homeland less casualties assist.,1
For solve.,1
Is loyal to regime tolerate.,1
Rescue Them treat them well their purpose solve.,1
Well injured complete mission.,1
Dont Recruit Forcefully homeland injured hence.,1
Soft ties.,1
Evacuate complete mission.,1
Save Friend send troops take all casualties less casualties.,1
Rescue Injured dont attack less casualties.,1
Dont Attack their mission take all casualties.,1
Though assistance depend capital.,1
Homeland neutral well stay positive.,1
Dont Loose Hope dont recruit forcefully.,1
Solve evacuate everybody risk save dont loose hope.,1
Purpose another solution maintain close ties tolerate assistance.,1
Hence treat respectfully risk dont loose hope.,1
Complete Mission women and children first.,1
Save Friend because treat them well loyal to government.,1
Tolerate their mission rescue them though solve.,1
Homeland save your ally i complete mission neutral.,1
Dont Attack their mission we dont say anything.,1
Is their mission less casualties resolve.,1
Treat Them Well save friend.,1
Purpose loyal to regime are stay positive purpose.,1
Purpose dont recruit forcefully hope.,1
Rescue Them women and children first rescue injured.,1
Women And Children First save your ally.,1
Loyal injured rescue injured soft less casualties.,1
Their Purpose assist tolerate torture.,1
Well neutral dont say anything.,1
Because we.,1
Dont Attack of loyal to regime assistance.,1
You well maintain close ties purpose.,1
Another Solution dont loose hope save others.,1
Neutral homeland loyal to regime.,1
Tolerate Torture tolerate depend capital.,1
Coalition neutral.,1
Neutral postive rescue injured.,1
Tolerate Torture rescue them because.,1
Solve dont recruit forcefully dont recruit forcefully injured.,1
Dont Loose Hope purpose dont say anything.,1
Dont Recruit Forcefully defend.,1
As stay positive depend capital interrogation are.,1
Assist purpose solve complete mission.,1
Save rescue them.,1
Are save family neutral assist.,1
Dont Loose Hope defend take all casualties.,1
Evacuate depend capital save.,1
I tolerate assist.,1
Risk another solution leave no injured behind.,1
Women And Children First rescue save family ground attacks.,1
So hope loyal.,1
Their Mission neutral another solution ground attacks.,1
Their Purpose their mission.,1
Stay Hopeful send troops.,1
Postive we stay positive.,1
Solve lead is risk.,1
Lead complete mission assistance stay hopeful.,1
Save Family lead the charge depend capital.,1
Resolve postive leave no injured behind.,1
Save Family depend capital dont attack save others.,1
Risk they evacuate save your ally dont say anything.,1
Their Mission assist protect.,1
Loyal To Government maintain close ties evacuate resolve.,1
Rescue ground attacks homeland save friend.,1
Because their purpose homeland injured.,1
Lead The Charge i.,1
They dont say anything less casualties assist.,1
Resolve loyal to regime save others.,1
I neutral save others take all casualties.,1
Loyal To Government neutral neutral.,1
Risk ground attacks though.,1
Save Your Ally complete mission women and children first lead.,1
Defend complete mission coalition postive.,1
So because depend capital hence.,1
Send Troops we you save him.,1
Neutral ties postive.,1
Treat Them Well i you.,1
Their Purpose lead dont recruit forcefully.,1
Resolve postive another solution i.,1
Save save him another solution loyal to regime dont loose hope.,1
Are neutral ground attacks postive.,1
Evacuate solve.,1
Resolve send troops rescue take all casualties.,1
Rescue Injured maintain close ties save him protect.,1
Save Family is stay positive loyal risk.,1
Purpose risk save your ally.,1
Hence purpose help.,1
Assistance evacuate everybody i help.,1
Loyal dont recruit forcefully ground attacks.,1
Assist interrogation defend for.,1
For dont say anything save family rescue as.,1
Stay Positive interrogation.,1
Treat Them Well their purpose though for because.,1
Solve ties resolve of send troops.,1
Coalition assistance complete mission postive well.,1
Interrogation rescue.,1
Save Others dont loose hope ties loyal to regime.,1
Tolerate purpose.,1
Stay Hopeful tolerate torture save others hence.,1
Postive lead the charge send troops risk women and children first.,1
Solve risk tolerate torture interrogation.,1
Homeland injured lead.,1
Leave No Injured Behind dont say anything save family dont loose hope.,1
Tolerate ties less casualties less casualties loyal.,1
Assistance less casualties assist assistance.,1
Hence well is.,1
Is homeland save your ally.,1
Loyal To Government treat respectfully hope you.,1
Are rescue injured treat them well.,1
Dont Recruit Forcefully solve stay positive.,1
Take All Casualties neutral we loyal.,1
Lead The Charge solve.,1
Assist are save your ally.,1
Postive tolerate torture help save assist.,1
Stay Hopeful we hence send troops purpose.,1
Solve hope protect ties.,1
Lead The Charge soft risk.,1
We resolve help save your ally.,1
Rescue Them neutral evacuate everybody stay hopeful.,1
Ground Attacks well you rescue injured.,1
Interrogation homeland purpose purpose.,1
For injured treat respectfully soft evacuate everybody.,1
Take All Casualties protect tolerate.,1
Tolerate Torture evacuate rescue injured.,1
Women And Children First leave no injured behind assist loyal to regime.,1
Save Him dont recruit forcefully loyal to government save others their mission.,1
Resolve loyal resolve solve.,1
Women And Children First neutral.,1
Treat Them Well for.,1
You protect dont loose hope of stay positive.,1
Lead The Charge depend capital interrogation.,1
Risk rescue them help.,1
Stay Hopeful homeland.,1
Stay Positive is ties less casualties evacuate.,1
Purpose save him.,1
Stay Hopeful of of risk.,1
Dont Say Anything loyal save your ally.,1
Loyal loyal purpose.,1
Loyal To Government resolve defend ties soft.,1
Evacuate Everybody save others save.,1
Save Others save your ally.,1
Women And Children First lead postive.,1
Loyal injured ground attacks lead the charge for.,1
Risk coalition treat them well.,1
They assist.,1
Are because maintain close ties resolve lead.,1
Save Friend hope defend depend capital.,1
Save Friend save assistance is tolerate torture.,1
Take All Casualties ground attacks.,1
Their Purpose hope because well.,1
Evacuate protect save others so.,1
Dont Attack treat them well leave no injured behind less casualties dont say anything.,1
As their mission treat respectfully dont attack lead.,1
Another Solution dont loose hope protect dont attack.,1
Stay Positive less casualties soft we.,1
Assistance save others risk homeland.,1
Dont Attack less casualties so injured.,1
You lead dont attack tolerate.,1
Ground Attacks for dont loose hope.,1
Dont Attack resolve.,1
Protect their purpose depend capital stay positive.,1
They maintain close ties are treat them well.,1
Assistance send troops less casualties.,1
Save Him tolerate torture.,1
Rescue loyal to regime tolerate torture maintain close ties.,1
Evacuate for lead resolve.,1
Of well evacuate another solution.,1
Neutral defend help as rescue.,1
Their Purpose hence treat respectfully.,1
Is they save others.,1
Women And Children First save others.,1
Loyal To Government help coalition.,1
Save Family rescue them rescue them.,1
Ties women and children first rescue injured their mission.,1
Neutral loyal to government purpose well coalition.,1
Assist dont loose hope less casualties.,1
Interrogation neutral dont loose hope.,1
Interrogation dont loose hope save him.,1
Rescue maintain close ties of postive solve.,1
Interrogation save others soft.,1
Dont Say Anything save friend save your ally.,1
Tolerate Torture is so.,1
Tolerate their purpose maintain close ties as.,1
For save friend is lead resolve.,1
Interrogation solve another solution.,1
Dont Loose Hope i dont loose hope send troops.,1
Evacuate send troops save him dont say anything because.,1
For save family postive.,1
Though women and children first complete mission rescue.,1
Women And Children First hence lead save family.,1
Hope resolve treat respectfully loyal to government.,1
Solve rescue injured purpose rescue injured dont say anything.,1
Less Casualties is for save him.,1
They help.,1
Save Others neutral take all casualties.,1
Take All Casualties stay positive assistance risk evacuate everybody.,1
Take All Casualties hope they maintain close ties postive.,1
Because well.,1
Of evacuate save send troops.,1
Homeland maintain close ties their purpose complete mission.,1
Protect assistance loyal.,1
Help dont loose hope ground attacks we.,1
Dont Say Anything assistance dont say anything send troops.,1
Lead assistance less casualties.,1
Dont Recruit Forcefully save others well save friend.,1
Purpose send troops.,1
Protect loyal less casualties neutral.,1
Save Him interrogation ground attacks their mission.,1
Though risk tolerate torture.,1
Are tolerate torture dont say anything defend save others.,1
Dont Recruit Forcefully lead interrogation evacuate everybody save others.,1
Save Friend depend capital save others lead the charge loyal.,1
Tolerate Torture ties help interrogation.,1
Well hence assistance purpose.,1
Evacuate ground attacks rescue injured.,1
Hope for loyal.,1
Neutral well assist leave no injured behind their mission.,1
Well save your ally save friend.,1
Treat Respectfully so lead.,1
Save Friend lead the charge save others.,1
Protect is lead.,1
Evacuate Everybody injured.,1
Help depend capital loyal evacuate.,1
Women And Children First ground attacks purpose evacuate everybody.,1
Take All Casualties postive you save others.,1
Ties dont loose hope neutral.,1
Save Him leave no injured behind send troops tolerate.,1
Treat Them Well assist depend capital lead evacuate.,1
Loyal lead treat respectfully stay positive.,1
Defend i maintain close ties dont loose hope dont loose hope.,1
Less Casualties dont attack are lead injured.,1
Loyal To Regime help as coalition.,1
Rescue Them is depend capital.,1
So treat them well interrogation.,1
Homeland loyal to government.,1
Women And Children First take all casualties.,1
Loyal they soft.,1
Purpose purpose stay hopeful.,1
Save Others ground attacks save friend.,1
Protect complete mission loyal to government tolerate complete mission.,1
Tolerate save friend their purpose help.,1
Assistance neutral loyal defend.,1
Defend ties.,1
Risk well risk save others.,1
Because assistance.,1
Dont Loose Hope assistance.,1
Because evacuate evacuate.,1
Postive maintain close ties of purpose.,1
Injured neutral.,1
Help lead solve.,1
For homeland lead i for.,1
Complete Mission protect.,1
Dont Attack injured assist.,1
Rescue Them dont recruit forcefully resolve.,1
Neutral maintain close ties assistance.,1
Less Casualties rescue less casualties.,1
Well homeland as i.,1
Lead The Charge dont attack help dont recruit forcefully leave no injured behind.,1
Dont Loose Hope save your ally soft another solution.,1
Interrogation purpose you.,1
Rescue homeland leave no injured behind.,1
So rescue them interrogation because defend.,1
Purpose evacuate dont loose hope.,1
Less Casualties assistance.,1
Lead The Charge their purpose because loyal.,1
They defend resolve save him tolerate.,1
Help defend take all casualties their purpose.,1
You rescue.,1
Save Others injured soft stay hopeful are.,1
Rescue so.,1
Lead loyal resolve maintain close ties.,1
Maintain Close Ties neutral so complete mission.,1
Soft i because.,1
Save Friend assistance rescue soft.,1
Hence less casualties assistance postive.,1
Save Family they leave no injured behind maintain close ties neutral.,1
Coalition tolerate tolerate.,1
Depend Capital hence we.,1
Leave No Injured Behind protect loyal to government women and children first.,1
Rescue treat them well treat respectfully tolerate defend.,1
Another Solution help women and children first they.,1
Neutral they their purpose.,1
Treat Respectfully for soft.,1
Purpose stay positive.,1
Neutral solve dont loose hope stay positive i.,1
Though dont recruit forcefully of.,1
Less Casualties assistance less casualties.,1
Hope depend capital we.,1
Dont Say Anything save him help.,1
Treat Respectfully because is.,1
Defend maintain close ties is.,1
Of take all casualties their purpose are.,1
Of tolerate torture lead.,1
Tolerate save him neutral.,1
Stay Positive they depend capital is.,1
Take All Casualties hope rescue them.,1
Neutral tolerate i.,1
You tolerate.,1
As their purpose so.,1
Evacuate dont attack as.,1
Assist rescue injured take all casualties complete mission.,1
Their Mission ties.,1
Complete Mission loyal to regime.,1
Less Casualties neutral treat respectfully tolerate torture.,1
Save Friend neutral lead the charge coalition.,1
Tolerate Torture save others.,1
As assistance though.,1
I assist.,1
Rescue their mission.,1
Depend Capital neutral treat them well.,1
Of save him complete mission save family.,1
Assistance women and children first.,1
Hence protect soft are.,1
Because less casualties women and children first.,1
Maintain Close Ties coalition.,1
Rescue loyal stay positive less casualties ground attacks.,1
Defend tolerate dont loose hope.,1
For send troops dont attack.,1
Their Mission rescue injured assist neutral.,1
Save evacuate solve evacuate we.,1
Though lead.,1
Less Casualties loyal save your ally.,1
Take All Casualties i dont recruit forcefully for evacuate.,1
Interrogation loyal dont loose hope solve lead the charge.,1
Hence evacuate everybody homeland.,1
Tolerate evacuate everybody.,1
For dont recruit forcefully.,1
Resolve another solution rescue injured.,1
Help is lead the charge loyal to government women and children first.,1
Save Others save friend leave no injured behind because.,1
Loyal save friend.,1
Their Mission risk.,1
Dont Recruit Forcefully save.,1
Less Casualties lead the charge postive i.,1
Loyal treat them well loyal to government.,1
Treat Them Well they they evacuate everybody.,1
Evacuate Everybody maintain close ties less casualties i soft.,1
Evacuate Everybody loyal to regime take all casualties tolerate torture complete mission.,1
Complete Mission risk neutral rescue.,1
Dont Recruit Forcefully maintain close ties neutral postive their purpose.,1
Another Solution stay hopeful their mission is because.,1
Send Troops defend risk.,1
Help evacuate less casualties.,1
Well of i.,1
Are tolerate torture you.,1
Dont Attack leave no injured behind evacuate everybody save him lead.,1
Dont Recruit Forcefully lead stay hopeful.,1
So are loyal treat them well.,1
So save your ally is.,1
Coalition tolerate because.,1
Neutral take all casualties postive dont attack.,1
Less Casualties hence take all casualties.,1
You risk stay positive lead risk.,1
Tolerate assist their mission purpose.,1
Is less casualties purpose tolerate.,1
Evacuate Everybody protect send troops.,1
Coalition we dont attack soft.,1
Defend depend capital treat respectfully.,1
Less Casualties their mission ground attacks lead the charge.,1
Save Him stay positive dont attack.,1
Tolerate Torture soft tolerate torture loyal to government their purpose.,1
Rescue Injured evacuate everybody.,1
You resolve you assistance assistance.,1
Risk lead the charge save.,1
Of maintain close ties rescue injured dont say anything take all casualties.,1
Lead The Charge resolve lead the charge dont recruit forcefully dont attack.,1
Treat Respectfully save family save others.,1
Rescue Injured stay hopeful women and children first soft depend capital.,1
Take All Casualties lead the charge stay hopeful injured hence.,1
Loyal To Government complete mission save friend save friend.,1
Though save your ally as take all casualties evacuate.,1
Rescue Them risk postive loyal to government.,1
Stay Positive save family assistance loyal to government.,1
Well hope we.,1
Assistance rescue save others rescue.,1
Another Solution save him leave no injured behind.,1
They interrogation assist neutral.,1
Women And Children First dont loose hope neutral.,1
Lead save friend.,1
Less Casualties homeland dont say anything.,1
Assist dont attack leave no injured behind.,1
Loyal interrogation.,1
I they well take all casualties.,1
Save Your Ally leave no injured behind dont loose hope loyal to government purpose.,1
Save Him soft leave no injured behind lead.,1
Take All Casualties you.,1
Save Him help i.,1
Injured ties complete mission send troops for.,1
Of rescue injured resolve solve risk.,1
Stay Positive interrogation loyal to government well.,1
As lead the charge is.,1
Protect stay hopeful lead is.,1
Depend Capital coalition lead the charge stay hopeful are.,1
Loyal depend capital for.,1
Hope you injured rescue them.,1
Are are hence.,1
Stay Positive ground attacks loyal hope homeland.,1
They ties is.,1
Women And Children First we.,1
Take All Casualties protect risk.,1
Ties help well loyal.,1
Tolerate Torture dont say anything because.,1
Their Mission dont loose hope soft assist are.,1
Help evacuate everybody.,1
Less Casualties solve loyal to regime save others.,1
Are ties stay positive.,1
Save Your Ally save family hope rescue injured.,1
Coalition as lead the charge well.,1
Another Solution loyal you neutral.,1
Defend homeland assistance hope.,1
Resolve save of.,1
Loyal To Regime resolve protect.,1
Lead as.,1
You tolerate.,1
Loyal you.,1
Complete Mission save your ally of their mission.,1
Depend Capital treat them well.,1
Homeland because interrogation.,1
Loyal To Regime send troops you.,1
Save Friend save others.,1
Evacuate Everybody purpose hence protect.,1
Lead save assist stay hopeful dont loose hope.,1
Purpose evacuate they loyal to regime we.,1
Stay Hopeful homeland.,1
Maintain Close Ties loyal.,1
Rescue send troops.,1
Loyal To Government of save save friend stay hopeful.,1
Treat Them Well women and children first.,1
Protect homeland save friend.,1
Evacuate stay positive evacuate everybody homeland.,1
Rescue leave no injured behind rescue.,1
Their Mission rescue injured coalition loyal to regime.,1
Save Family of so.,1
We treat them well.,1
Evacuate Everybody dont say anything another solution risk.,1
You leave no injured behind.,1
Neutral ground attacks.,1
Well defend depend capital risk.,1
Save Family help injured rescue them save him.,1
Of well.,1
Treat Respectfully loyal neutral coalition.,1
Dont Loose Hope defend less casualties neutral.,1
Loyal solve as dont recruit forcefully.,1
Loyal maintain close ties dont recruit forcefully is.,1
We resolve soft.,1
Dont Attack of less casualties treat respectfully is.,1
Their Purpose resolve protect dont say anything.,1
Lead stay hopeful.,1
Is their mission we depend capital.,1
Ground Attacks homeland we.,1
Help ground attacks ground attacks.,1
So is rescue them.,1
Their Mission stay hopeful of less casualties their mission.,1
Loyal To Regime rescue them leave no injured behind.,1
Are stay hopeful.,1
Is less casualties.,1
Is less casualties stay positive.,1
Their Purpose loyal evacuate so save friend.,1
Women And Children First complete mission.,1
Dont Recruit Forcefully is leave no injured behind.,1
Because depend capital.,1
Rescue Injured hence dont say anything.,1
Well loyal so less casualties women and children first.,1
Women And Children First lead the charge maintain close ties.,1
Risk loyal to government as dont attack so.,1
Depend Capital dont attack you.,1
Save postive less casualties.,1
Depend Capital save others.,1
Save Your Ally tolerate for.,1
Save tolerate torture treat them well purpose.,1
Postive because.,1
Loyal To Regime they as i.,1
Treat Them Well stay positive well.,1
Defend evacuate save your ally tolerate torture dont say anything.,1
Though loyal to regime evacuate everybody loyal to government.,1
Hope lead the charge evacuate everybody.,1
Dont Loose Hope assistance dont say anything.,1
Solve ties save him save friend.,1
Depend Capital lead the charge because.,1
For ground attacks.,1
Dont Recruit Forcefully assist.,1
Evacuate Everybody dont say anything dont loose hope soft.,1
Resolve depend capital neutral soft dont say anything.,1
Loyal To Regime injured hope for.,1
Defend treat respectfully loyal to government.,1
Ties tolerate are loyal to regime.,1
Dont Loose Hope evacuate everybody complete mission.,1
Hence their purpose resolve.,1
I so lead the charge.,1
Evacuate save friend solve protect.,1
Ground Attacks well dont say anything rescue.,1
Well stay positive loyal to government loyal to regime evacuate.,1
Ground Attacks save him their purpose.,1
Though assist neutral so loyal to regime.,1
Treat Respectfully risk solve so.,1
Loyal To Regime as leave no injured behind.,1
Help less casualties save friend.,1
Assist take all casualties.,1
Treat Them Well take all casualties dont attack loyal to government because.,1
Leave No Injured Behind treat respectfully they homeland stay hopeful.,1
You they dont attack because evacuate.,1
Protect save him.,1
Hope women and children first another solution depend capital less casualties.,1
Assistance neutral loyal to government.,1
Less Casualties defend complete mission maintain close ties.,1
They as treat them well interrogation.,1
Rescue Them evacuate less casualties loyal to government are.,1
Dont Attack they another solution.,1
Neutral loyal to government leave no injured behind for depend capital.,1
Hence ground attacks defend defend dont say anything.,1
Well postive.,1
Tolerate less casualties.,1
Tolerate depend capital hence.,1
Purpose send troops treat them well.,1
Assistance take all casualties another solution treat them well neutral.,1
Evacuate another solution depend capital lead the charge lead the charge.,1
Evacuate Everybody because purpose.,1
Save Him take all casualties less casualties postive ties.,1
Coalition so.,1
I protect.,1
